20:22:02  DEBUG i.g.b.wdm.cache.ResolutionCache - Resolution chrome=96 in cache (valid until 21:19:40 25/11/2021 MSK)
20:22:02  DEBUG i.g.b.wdm.cache.ResolutionCache - Resolution chrome96=96.0.4664.45 in cache (valid until 01:22:48 26/11/2021 MSK)
20:22:02  INFO  i.g.bonigarcia.wdm.WebDriverManager - Using chromedriver 96.0.4664.45 (resolved driver for Chrome 96)
20:22:02  DEBUG i.g.bonigarcia.wdm.WebDriverManager - Driver chromedriver 96.0.4664.45 found in cache
20:22:02  INFO  i.g.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\julia\.cache\selenium\chromedriver\win32\96.0.4664.45\chromedriver.exe
20:22:04  INFO  manger.ApplicationManager - Test starts
20:22:32  INFO  test.TestBase - Start test---cardCreation1
20:22:32  INFO  manger.MyListener - Start search element by locator--By.cssSelector: .boards-page-board-section-list-item
20:22:37  INFO  manger.MyListener - Element with locator--By.cssSelector: .boards-page-board-section-list-itemwsa found
20:22:37  INFO  manger.MyListener - Start search element by locator--By.cssSelector: .js-add-list
20:22:38  INFO  manger.MyListener - Element with locator--By.cssSelector: .js-add-listwsa found
20:22:38  INFO  manger.MyListener - Start search element by locator--By.cssSelector: .list-name-input
20:22:38  INFO  manger.MyListener - Element with locator--By.cssSelector: .list-name-inputwsa found
20:22:38  INFO  manger.MyListener - Start search element by locator--By.cssSelector: .list-name-input
20:22:38  INFO  manger.MyListener - Element with locator--By.cssSelector: .list-name-inputwsa found
20:22:38  INFO  manger.MyListener - Start search element by locator--By.cssSelector: .list-name-input
20:22:38  INFO  manger.MyListener - Element with locator--By.cssSelector: .list-name-inputwsa found
20:22:38  INFO  manger.MyListener - Start search element by locator--By.cssSelector: .js-save-edit
20:22:38  INFO  manger.MyListener - Element with locator--By.cssSelector: .js-save-editwsa found
20:22:38  INFO  manger.MyListener - Start search element by locator--By.cssSelector: .js-add-a-card
20:22:38  INFO  manger.MyListener - Element with locator--By.cssSelector: .js-add-a-cardwsa found
20:22:38  INFO  manger.MyListener - Start search element by locator--By.cssSelector: .js-card-title
20:22:38  INFO  manger.MyListener - Element with locator--By.cssSelector: .js-card-titlewsa found
20:22:38  INFO  manger.MyListener - Start search element by locator--By.cssSelector: .js-card-title
20:22:38  INFO  manger.MyListener - Element with locator--By.cssSelector: .js-card-titlewsa found
20:22:38  INFO  manger.MyListener - Start search element by locator--By.cssSelector: .js-card-title
20:22:38  INFO  manger.MyListener - Element with locator--By.cssSelector: .js-card-titlewsa found
20:22:38  INFO  manger.MyListener - Start search element by locator--By.cssSelector: .js-add-card
20:22:38  INFO  manger.MyListener - Element with locator--By.cssSelector: .js-add-cardwsa found
20:22:39  INFO  test.TestBase - ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
20:22:39  INFO  manger.ApplicationManager - Tests are finished
